feature,importance
int_rate,0.20653585660073287
grade_ord,0.07826517965861063
bureau_data_missing,0.07602050074568609
annual_inc,0.04420797052137557
inq_last_6mths,0.03250999457083222
dti,0.02877306208199499
installment_to_income,0.028179769729516455
int_rate_x_term,0.02552422197590181
sub_grade=C4,0.023840821813527327
sub_grade=D1,0.019899848287327222
tot_cur_bal,0.019108983427483916
sub_grade=C3,0.01892498891635289
credit_history_years,0.017047530302129167
open_to_total_acc,0.014756452657802566
revol_util_x_dti,0.01467089736925238
open_acc,0.014639885578334597
sub_grade=B3,0.014012876368697191
total_rev_hi_lim,0.013929010259266093
sub_grade=B5,0.013213417691250024
pub_rec,0.013208235404747724
