feature,correlation
int_rate,0.15503707005598646
grade_ord,0.12365612311542691
int_rate_x_term,0.11625047840303716
inq_last_6mths,0.07440710649625745
installment_to_income,0.061698991164065575
loan_to_income,0.04969367794657074
credit_history_years,-0.04731278133348313
tot_cur_bal,-0.04519210354723593
revol_util,0.04452463448572764
bal_to_limit,0.037544699398692455
total_rev_hi_lim,-0.03742958191261052
annual_inc,-0.03706621206707588
revol_util_x_dti,0.03381508677349438
term,0.03137753358660331
open_acc,-0.021698146936135285
total_acc,-0.021087054879159663
revol_bal,-0.020695559614717734
pub_rec,-0.01960677559018357
emp_length_years,-0.013741647166797573
collections_12_mths_ex_med,-0.010650992729568043
dti,0.010033416736155302
delinq_2yrs,-0.009185630005880477
open_to_total_acc,0.007179331139755113
loan_amnt,-0.004906799423174349
installment,0.004753022483995675
acc_now_delinq,-0.003116156097469164
tot_coll_amt,-0.0024445582761255073
