addr_state,n,default_rate
NV,11972,0.0693284330103575
HI,4380,0.06484018264840183
AL,10732,0.0625232948192322
FL,58639,0.061716604989853166
CA,125172,0.060261080752884034
NY,71114,0.059481958545434095
UT,6055,0.058959537572254334
NJ,32061,0.05895012632169926
NM,4757,0.05822997687618247
VA,25234,0.058135848458429104
MO,13743,0.05799316015426035
LA,10186,0.057333595130571374
NC,23787,0.05629125152394165
MD,20209,0.05556930080657133
OK,7759,0.055290630235855134
AZ,19693,0.055248057685471995
KY,8299,0.054343896855042775
AR,6399,0.053914674167838725
WA,18816,0.05357142857142857
MN,15424,0.053358402489626554
MI,22175,0.0533032694475761
OH,28651,0.05277302711947227
PA,30250,0.0527603305785124
MA,19835,0.05273506428031258
DE,2402,0.05245628642797669
OR,10562,0.052262829009657265
RI,3753,0.052224886757260856
SD,1745,0.052148997134670486
GA,28043,0.04978069393431516
WI,11199,0.04911152781498348
IN,13348,0.048321845969433626
CT,13042,0.04769207176813372
TN,12392,0.047207876049063915
KS,7693,0.04692577668009879
AK,2134,0.04592314901593252
TX,68708,0.04578797228852535
IL,34379,0.045667413246458594
SC,10302,0.045039798097456805
CO,18211,0.044423699961561695
WY,1974,0.04204660587639311
MT,2466,0.040957015409570155
VT,1753,0.040501996577296064
WV,4247,0.03885095361431599
NH,4156,0.03849855630413859
DC,2382,0.03736356003358522
MS,3653,0.024637284423761292
NE,1124,0.0035587188612099642
ND,452,0.0
ME,491,0.0
