purpose,n,default_rate
educational,326,0.17177914110429449
small_business,9785,0.14205416453755748
wedding,2280,0.1162280701754386
renewable_energy,549,0.09836065573770492
moving,5160,0.08449612403100776
house,3513,0.0834044975804156
other,40949,0.07328628293731226
medical,8193,0.07128036128402294
vacation,4542,0.06120651695288419
debt_consolidation,505392,0.056172238579162315
major_purchase,16587,0.05353590160969434
car,8593,0.053299197020830906
home_improvement,49956,0.04636079750180159
credit_card,200144,0.040266008473898794
