column,inferred_type
id,int
member_id,int
loan_amnt,int
funded_amnt,int
funded_amnt_inv,double
term,string
int_rate,double
installment,double
grade,string
sub_grade,string
emp_title,string
emp_length,string
home_ownership,string
annual_inc,double
verification_status,string
issue_d,string
pymnt_plan,string
desc,string
purpose,string
title,string
zip_code,string
addr_state,string
dti,double
delinq_2yrs,int
earliest_cr_line,string
inq_last_6mths,int
mths_since_last_delinq,int
mths_since_last_record,int
open_acc,int
pub_rec,int
revol_bal,int
revol_util,double
total_acc,int
initial_list_status,string
out_prncp,double
out_prncp_inv,double
total_pymnt,double
total_pymnt_inv,double
total_rec_prncp,double
total_rec_int,double
total_rec_late_fee,double
recoveries,double
collection_recovery_fee,double
last_pymnt_d,string
last_pymnt_amnt,double
next_pymnt_d,string
last_credit_pull_d,string
collections_12_mths_ex_med,int
mths_since_last_major_derog,int
policy_code,int
application_type,string
annual_inc_joint,double
dti_joint,double
verification_status_joint,string
acc_now_delinq,int
tot_coll_amt,int
tot_cur_bal,int
open_acc_6m,int
open_il_6m,int
open_il_12m,int
open_il_24m,int
mths_since_rcnt_il,int
total_bal_il,int
il_util,double
open_rv_12m,int
open_rv_24m,int
max_bal_bc,int
all_util,double
total_rev_hi_lim,int
inq_fi,int
total_cu_tl,int
inq_last_12m,int
default_ind,int
