sub_grade,n,default_rate
G5,469,0.18550106609808104
F5,2380,0.1810924369747899
G1,1698,0.17491166077738515
G3,877,0.16647662485746864
G2,1259,0.1636219221604448
F4,3168,0.15940656565656566
F3,4099,0.15637960478165405
G4,570,0.1368421052631579
F2,4979,0.12914239807190198
F1,6702,0.1183228886899433
E5,8919,0.11772620248906829
E4,11011,0.10652983380256108
E3,13294,0.09673536933955168
E2,15994,0.09559834938101788
D4,24253,0.08885498701191605
D5,20208,0.08793547110055423
D3,25289,0.08268417098343153
D2,28385,0.0825788268451647
E1,17230,0.0824724318049913
D1,34667,0.07012432572763723
C5,39532,0.06539006374582616
C4,46941,0.05611299290598837
C3,48337,0.05434760121645944
C2,50457,0.05170739441504647
C1,51588,0.04937194696441033
B5,47333,0.04599328164282847
B4,54116,0.044016557025648606
B3,54958,0.041795552967720806
B2,47589,0.034020466914623126
B1,44002,0.02822598972773965
A4,33991,0.023241446265187843
A5,43957,0.022840503219054984
A3,23095,0.017579562675903875
A2,22106,0.0128019542205736
A1,22516,0.008038728015633328
