column,null_count,null_pct
annual_inc_joint,855527,0.9994836261593586
dti_joint,855527,0.9994836261593586
verification_status_joint,855527,0.9994836261593586
il_util,844360,0.9864375929502119
mths_since_rcnt_il,843035,0.9848896396948955
open_acc_6m,842681,0.9844760733157393
open_il_6m,842681,0.9844760733157393
open_il_12m,842681,0.9844760733157393
open_il_24m,842681,0.9844760733157393
total_bal_il,842681,0.9844760733157393
open_rv_12m,842681,0.9844760733157393
open_rv_24m,842681,0.9844760733157393
max_bal_bc,842681,0.9844760733157393
all_util,842681,0.9844760733157393
inq_fi,842681,0.9844760733157393
total_cu_tl,842681,0.9844760733157393
inq_last_12m,842681,0.9844760733157393
desc,734156,0.8576899397057604
mths_since_last_record,724785,0.8467421133241975
mths_since_last_major_derog,642830,0.7509968234830934
mths_since_last_delinq,439812,0.5138176733035893
next_pymnt_d,252971,0.2955375720382397
tot_coll_amt,67313,0.07863953016990101
tot_cur_bal,67313,0.07863953016990101
total_rev_hi_lim,67313,0.07863953016990101
emp_title,49439,0.05775793282233352
last_pymnt_d,8862,0.010353178678199794
revol_util,446,0.0005210469070725692
collections_12_mths_ex_med,56,6.542293003601767e-05
last_credit_pull_d,50,5.841333038930148e-05
title,32,3.738453144915295e-05
id,0,0.0
member_id,0,0.0
loan_amnt,0,0.0
funded_amnt,0,0.0
funded_amnt_inv,0,0.0
term,0,0.0
int_rate,0,0.0
installment,0,0.0
grade,0,0.0
sub_grade,0,0.0
emp_length,0,0.0
home_ownership,0,0.0
annual_inc,0,0.0
verification_status,0,0.0
issue_d,0,0.0
pymnt_plan,0,0.0
purpose,0,0.0
zip_code,0,0.0
addr_state,0,0.0
dti,0,0.0
delinq_2yrs,0,0.0
earliest_cr_line,0,0.0
inq_last_6mths,0,0.0
open_acc,0,0.0
pub_rec,0,0.0
revol_bal,0,0.0
total_acc,0,0.0
initial_list_status,0,0.0
out_prncp,0,0.0
out_prncp_inv,0,0.0
total_pymnt,0,0.0
total_pymnt_inv,0,0.0
total_rec_prncp,0,0.0
total_rec_int,0,0.0
total_rec_late_fee,0,0.0
recoveries,0,0.0
collection_recovery_fee,0,0.0
last_pymnt_amnt,0,0.0
policy_code,0,0.0
application_type,0,0.0
acc_now_delinq,0,0.0
default_ind,0,0.0
