feature,count,mean,stddev,min,p25,median,p75,max
loan_amnt,855969,14745.571334943204,8425.3400050053,500.0,8000.0,13000.0,20000.0,35000.0
int_rate,855969,13.192319605031306,4.368365181701456,5.32,9.99,12.99,15.99,28.99
installment,855969,436.2380718343605,243.72687616798393,15.69,260.55,382.55,571.56,1445.46
annual_inc,855969,75071.18596268093,64264.469813463336,0.0,45000.0,65000.0,90000.0,9500000.0
dti,855969,18.122164821389617,17.423629289300308,0.0,11.88,17.61,23.89,9999.0
delinq_2yrs,855969,0.31162109842763,0.8571894441912691,0.0,0.0,0.0,0.0,39.0
inq_last_6mths,855969,0.6809148462152251,0.9640330785488125,0.0,0.0,0.0,1.0,8.0
open_acc,855969,11.542447214793993,5.308093540482949,0.0,8.0,11.0,14.0,90.0
pub_rec,855969,0.19453741899531407,0.5815854516855755,0.0,0.0,0.0,0.0,86.0
revol_bal,855969,16910.52699221584,22223.741577117748,0.0,6468.0,11902.0,20853.0,2904836.0
total_acc,855969,25.26926909736217,11.818841145880748,2.0,17.0,24.0,32.0,169.0
